userId,movieId,rating,timestamp,tmdbId
1,1,4.0,964982703,862
1,3,4.0,964981247,15602
1,6,4.0,964982224,949
1,47,5.0,964983815,807
1,50,5.0,964982931,629
1,70,3.0,964982400,755
1,101,5.0,964980868,13685
1,110,4.0,964982176,197
1,151,5.0,964984041,11780
1,157,5.0,964984100,1775
1,163,5.0,964983650,8068
1,216,5.0,964981208,11017
1,223,3.0,964980985,2292
1,231,5.0,964981179,8467
1,235,4.0,964980908,522
1,260,5.0,964981680,11
1,296,3.0,964982967,680
1,316,3.0,964982310,2164
1,333,5.0,964981179,11381
1,349,4.0,964982563,9331
1,356,4.0,964980962,13
1,362,5.0,964982588,10714
1,367,4.0,964981710,854
1,423,3.0,964982363,178
1,441,4.0,964980868,9571
1,457,5.0,964981909,5503
1,480,4.0,964982346,329
1,500,3.0,964981208,788
1,527,5.0,964984002,424
1,543,4.0,964981179,10442
1,552,4.0,964982653,10057
1,553,5.0,964984153,11969
1,590,4.0,964982546,581
1,592,4.0,964982271,268
1,593,4.0,964983793,274
1,596,5.0,964982838,10895
1,608,5.0,964982931,275
1,648,3.0,964982563,954
1,661,5.0,964982838,10539
1,673,3.0,964981775,2300
1,733,4.0,964982400,9802
1,736,3.0,964982653,664
1,780,3.0,964984086,602
1,804,4.0,964980499,11363
1,919,5.0,964982475,630
1,923,5.0,964981529,15
1,940,5.0,964982176,10907
1,943,4.0,964983614,22292
1,954,5.0,964983219,3083
1,1009,3.0,964981775,14821
1,1023,5.0,964982681,81310
1,1024,5.0,964982876,15947
1,1025,5.0,964982791,9078
1,1029,5.0,964982855,11360
1,1030,3.0,964982903,11114
1,1031,5.0,964982653,12335
1,1032,5.0,964982791,12092
1,1042,4.0,964981179,9591
1,1049,5.0,964982400,10586
1,1060,4.0,964980924,10218
1,1073,5.0,964981680,252
1,1080,5.0,964981327,583
1,1089,5.0,964982951,500
1,1090,4.0,964984018,792
1,1092,5.0,964983484,402
1,1097,5.0,964981680,601
1,1127,4.0,964982513,2756
1,1136,5.0,964981327,762
1,1196,5.0,964981827,1891
1,1197,5.0,964981872,2493
1,1198,5.0,964981827,85
1,1206,5.0,964983737,185
1,1208,4.0,964983250,28
1,1210,5.0,964980499,1892
1,1213,5.0,964982951,769
1,1214,4.0,964981855,348
1,1219,2.0,964983393,539
1,1220,5.0,964981909,525
1,1222,5.0,964981909,600
1,1224,5.0,964984018,10705
1,1226,5.0,964983618,3109
1,1240,5.0,964983723,218
1,1256,5.0,964981442,3063
1,1258,3.0,964983414,694
1,1265,4.0,964983599,137
1,1270,5.0,964983705,105
1,1275,5.0,964982290,8009
1,1278,5.0,964983414,3034
1,1282,5.0,964982703,756
1,1291,5.0,964981909,89
1,1298,5.0,964984086,12104
1,1348,4.0,964983393,653
1,1377,3.0,964982653,364
1,1396,3.0,964983017,2322
1,1408,3.0,964982310,9361
1,1445,3.0,964984112,14908
1,1473,4.0,964980875,19952
1,1500,4.0,964980985,9434
1,1517,5.0,964981107,816
1,1552,4.0,964982620,1701
1,1573,5.0,964982290,754
1,1580,3.0,964981125,607
1,1587,5.0,964982346,9387
1,1617,5.0,964982951,2118
1,1620,4.0,964983056,9437
1,1625,5.0,964983504,2649
1,1644,3.0,964983536,3597
1,1676,3.0,964982620,563
1,1732,5.0,964981125,115
1,1777,4.0,964981230,11003
1,1793,4.0,964981404,6970
1,1804,5.0,964983034,42807
1,1805,4.0,964983056,617
1,1920,4.0,964981780,11551
1,1927,5.0,964981497,143
1,1954,5.0,964982176,1366
1,1967,4.0,964981710,13597
1,2000,4.0,964982211,941
1,2005,5.0,964981710,9340
1,2012,4.0,964984176,196
1,2018,5.0,964980523,3170
1,2028,4.0,964981888,857
1,2033,5.0,964982903,10957
1,2046,4.0,964982563,10122
1,2048,5.0,964982791,9994
1,2054,4.0,964981747,9354
1,2058,5.0,964982400,9631
1,2078,5.0,964982838,9325
1,2090,5.0,964982838,11319
1,2093,3.0,964981710,13155
1,2094,5.0,964982653,10249
1,2096,4.0,964982838,10882
1,2099,4.0,964982588,13850
1,2105,4.0,964981725,97
1,2115,5.0,964982529,87
1,2116,5.0,964982876,123
1,2137,5.0,964982791,15171
1,2139,5.0,964982791,11704
1,2141,5.0,964982838,4978
1,2143,4.0,964981725,11976
1,2161,5.0,964981710,34584
1,2174,4.0,964981680,4011
1,2193,4.0,964981710,847
1,2253,2.0,964981775,11597
1,2268,4.0,964982989,881
1,2273,4.0,964982310,2109
1,2291,5.0,964983664,162
1,2329,5.0,964983263,73
